Dispositivo BDI;ENTORNO;APP-SERVICE;SERVICIO;APLICACION SOFTWARE;ESTADO APLICACIÓN;DOCKER;VERSION;URL;Ruta Documentación;USO INTERNO/EXTERNO;OBSERVACION;IP;BBDD
DPSSANVDI01;DESARROLLO;; Virtualización De Escritorio (Navision Y Nóminas);"RDWA Remote Desktop Web Access (IIS); 
RDCB Remote Desktop Connection Broker
RDSH Remote Desktop Host Session";ALTA;false;;https://dpssanvdi01/Rdweb;;EXTERNO;"Tres componentes:RDWA Remote Desktop Web Access (IIS); 
RDCB Remote Desktop Connection Broker
RDSH Remote Desktop Host Session";;
SANVDI01;PRODUCCION;; Virtualización De Escritorio (Navision Y Nóminas);"RDWA Remote Desktop Web Access (IIS); 
RDCB Remote Desktop Connection Broker
RDSH Remote Desktop Host Session";ALTA;false;;https://sanvdi01.intcmd.sandetel.int/Rdweb;;EXTERNO;"Tres componentes:RDWA Remote Desktop Web Access (IIS); 
RDCB Remote Desktop Connection Broker
RDSH Remote Desktop Host Session";;
PRESANGRE01;PREPRODUCCION;SERVICIO;Gregistro-Sandetel PRE;Gregistro;ALTA;false;;https://pre-registro.sandetel.es/;;EXTERNO;Servidor apagado;;
SANGRE01;PRODUCCION;SERVICIO;Gregistro-Sandetel;Gregistro;ALTA;false;;https://registro.sandetel.es/;\\archivo.intcdm.sandetel.int\7.TELE_CDG\5.TEL_PLP\3.GES_PT\Operaciones\Organismos\SAND\Documentos\Aplicaciones\Corporativas\#REF;EXTERNO; Se ubican en la red los manuales MU-110 GRegistro - Usuario administrador MU-111 GRegistro - Usuario avanzado MU-112 GRegistro - Usuario básico;;
DESSANHVA01;PREPRODUCCION;SERVICIO;Portal Web Zonadigital- PRE;Zona Digital ;ALTA;false;;https://zonadigital-pre.sandetel.es/catalogo;;EXTERNO;;;
SANHVA01;PRODUCCION;SERVICIO;Portal Web Zonadigital;Zona Digital ;ALTA;false;;https://zonadigital.sandetel.es/;;EXTERNO;;;
DESSANNOT01;DESARROLLO;;Notificaciones Electrónicas Sandetel -DES;Notificaciones Electrónicas Sandetel;BAJA;false;;http://10.240.241.54:8080/mnt/;;EXTERNO;La VM se encuentra dada de baja;;
SANNOT01;PRODUCCION;;Notificaciones Electrónicas Sandetel;Notificaciones Electrónicas Sandetel;BAJA;false;;http://comunicaciones.sandetel.es;;EXTERNO;LA VM se encuentra apagada. La aplicación no es accesible por ello. Instalación según MONOTEL_20180822_MBC_v01r00.docx ;;
DESSANCOM01;DESARROLLO;SERVICIO;Compliance-Canal Denuncias-DES;Compliance;BAJA;false;;  https://canaldedenuncias.sandetel.es/;;EXTERNO;Este servicio aún no se ha puesto en marcha pq no tenemos CCO en la empresa ;;
DPSSANDIN01;DESARROLLO;SERVICIO;Compliance-Canal Denuncias-PRE;Compliance;BAJA;false;;;;EXTERNO;Este servicio aún no se ha puesto en marcha pq no tenemos CCO en la empresa;;
